Number of vertices: 19
Start vertex:       0

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18
---------------------------------------------------------------------------------------------------
  0 |    0    0    0   27    0   82   86    0    0    0    0    0    0    0    0    0    0   69    0
  1 |    0    0    0    0   65    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  2 |    0    0    0    0    0    0    0    0    0    0    0   20    0   91    0    0    0    0    0
  3 |    0   81    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   32
  4 |    0    0    0    0    0    0    0   58    0    0   71    0    0    0    0    0    0    0   73
  5 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   55   47    0    0
  6 |    0    0    0    0    0    0    0    0   67   94    0   29    0    0    0    0    0    3    0
  7 |    0    0    0    0    0    0    0    0    0    0   13    0    0    0    0    0    0    0    0
  8 |    0    0    0    0    0    0   95    0    0   70    0   22    0    0    0    0    0    0    0
  9 |    0   27    0    0    0    0   12    0    0    0    0    0    0    0    0   49    0    0    0
 10 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 11 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 12 |    0    0    0    0    0    0   53    0    0    0    0    0    0    0    0    0    0    0    0
 13 |    0   36    0    0    0    0    0   90    0   15    0    0    0    0   30    0   35    0    0
 14 |    0    0   18   45    0    0    0    0    0    0    0    0    0    0    0    0   27    0    0
 15 |    0    0    0    0    0    0    0    0   23    0    0    0    0    0    0    0    0    0    0
 16 |    0    0    0    0    0    0    0    0    0   72    0    0   78    0    0    0    0    0    0
 17 |    0    0   32    0    0    0    0    0   12    0    0    0    0    0    0    0    0    0    0
 18 |    0    0    0    0    0    0    0    0    0    0    0    0   34   80    0    0    0    0    0
